ID	Area	Title	Description
171	유사의료업	물리치료실	유사의료업기타
172	병원	관저성모의원	일반병원
173	병원	성심칫과	치과의원
174	병원	힘찬병원	정형/성형외과
175	병원	소문난연세통증의학과	기타병원
176	병원	보화당한의원	한의원
177	수의업	아라우나	동물병원
178	약국/한약방	정문약국	약국
179	약국/한약방	킴스약국	약국
180	병원	세란성심	정형/성형외과
181	약국/한약방	시골밥상	약국
182	병원	원장	내과/외과
183	병원	제일연합마취통증의	일반병원
184	약국/한약방	유빈당약국	약국
185	약국/한약방	밝은미래약국	약국
186	병원	빛과소금내과	내과/외과
187	유사의료업	전국카이록프락사	유사의료업기타
188	병원	예니치과	치과의원
189	약국/한약방	서울약국	약국
190	병원	김현중소아과의원	소아과
191	약국/한약방	열린약국	약국
192	병원	순수한의원	한의원
193	병원	금강한의원	한의원
194	병원	동국대학병원일산	종합병원
195	병원	밝은미래안과	안과의원
196	병원	더이쁜한의원	한의원
197	병원	위시티연세치과	치과병원
198	병원	필성형외과	정형/성형외과
199	병원	남악EM치과의원	치과의원
200	병원	준소아청소년과	소아과
201	유사의료업	오행쑥뜸방	유사의료업기타
202	병원	서울대한의원	한의원
203	병원	하늘소아이앤씨	소아과
204	약국/한약방	두산미소약국	약국
205	수의업	내추럴발란스서부경남	동물병원
206	유사의료업	리버스케어	척추교정치료
207	병원	서울연치과	치과의원
208	병원	호수병원	일반병원
209	병원	이선호소아과의원	소아과
210	병원	성신고려재활의학과의원	기타병원
211	병원	다나음정형외과통증의학과	정형/성형외과
212	수의업	동물병원	동물병원
213	병원	스타힐성형피부과	피부과
214	병원	프리미성형클리닉	정형/성형외과
215	병원	늘고운성형외과	정형/성형외과
216	병원	굿모닝의원	일반병원
217	약국/한약방	동인당한약국	한약방
218	유사의료업	바른자세운동원	척추교정치료
219	병원	은아치과	치과의원
220	병원	극동한의원	한의원
221	수의업	청리가축병원	동물병원
222	수의업	경의가축병원	동물병원
223	병원	카톨릭피부과	정형/성형외과
224	병원	삼광의료재단안동영업소	기타병원
225	병원	함양사랑치과	치과병원
226	수의업	푸른동물병원	동물병원
227	약국/한약방	항복한약국	한약방
228	병원	바롬치과	치과의원
229	병원	다즐치과	치과의원
230	병원	자운한의원	한의원
231	약국/한약방	무지개약국	약국
232	병원	지오비뇨기과	비뇨기과
233	병원	김소강치과의원	치과의원
234	병원	S플러스	치과의원
235	병원	군산메디베베소아청소년과의원	소아과
236	약국/한약방	보건약국	약국
237	병원	김준호티엠성형외과의원	정형/성형외과
238	약국/한약방	굿모닝약국	약국
239	약국/한약방	서울한약방	한약방
240	병원	이경미소아과	소아과
241	수의업	평화드림	수의업-종합
242	병원	푸른치과의원	치과의원
243	병원	라환도혈관외과의원	내과/외과
244	병원	허남현내과의원	내과/외과
245	약국/한약방	대영당약방	약국
246	유사의료업	김병수요통교실	척추교정치료
247	병원	삼부의원	기타병원
248	병원	아가페치과	치과병원
249	병원	미주치과	치과의원
250	약국/한약방	대경한약방	한약방
251	약국/한약방	신천당한약방	한약방
252	약국/한약방	인화당한약방	한약방
253	병원	이영환의원	기타병원
254	약국/한약방	종로약국	약국
255	병원	우리신경외과의원	신경외과
256	병원	동교신경과	기타병원
257	약국/한약방	백사당한약방	한약방
258	병원	백마의원	기타병원
259	약국/한약방	전주강남약국	약국
260	약국/한약방	성일당한약방	한약방
261	병원	보람의원내과의원	내과/외과
262	수의업	중곡종합동물병원	동물병원
263	병원	열린종합내과	내과/외과
264	병원	고골신생당한의원	한의원
265	병원	소리울치료교육센터	기타병원
266	약국/한약방	매일약국	약국
267	약국/한약방	명신약국	약국
268	약국/한약방	용성약국	약국
269	약국/한약방	굿모닝약국	약국
270	유사의료업	경수치과기공소	치과기공소
271	약국/한약방	우슬초약국	약국
272	약국/한약방	장약국	약국
273	병원	김앤신연합소아청소년과의원	소아과
274	병원	스마일방사선과부설	기타병원
275	병원	바롬선릉의원	피부과
276	약국/한약방	중앙약국	약국
277	병원	유엔미여성의원	산부인과
278	유사의료업	소리언어청각센터	언어치료
279	병원	예피부과의원	피부과
280	병원	행복한쉼터	노인/치매병원
281	유사의료업	이이팔기념중앙공원헌혈의집	혈액원
282	병원	하지정맥서울외과	내과/외과
283	약국/한약방	천하약국	약국
284	병원	최경진비뇨기과의원	비뇨기과
285	병원	노엘피부비뇨기과	비뇨기과
286	약국/한약방	문약국	약국
287	병원	안심노인주간보호센터사하점	노인/치매병원
288	병원	이데이치과	치과의원
289	약국/한약방	강동한우리의원	약국
290	병원	이경수치과	치과의원
291	약국/한약방	대한약국	한약방
292	유사의료업	제이디치과기공소	치과기공소
293	약국/한약방	명진한약방	한약방
294	병원	이선희치과	치과의원
295	병원	원광효도요양병원	노인/치매병원
296	유사의료업	이순영언어발달센터	언어치료
297	병원	sun플러스치과	치과의원
298	약국/한약방	성화우리약국	약국
299	유사의료업	바른척추클리닉	척추교정치료
300	병원	해밀아이치과	치과병원
301	유사의료업	황제쑥좌훈방	유사의료업기타
302	병원	서대문하나이비인후과의원	이비인후과의원
303	병원	위드아이소아청소년과의원	소아과
304	약국/한약방	튼튼약국	약국
305	병원	운파의료재단	일반병원
306	병원	대진의료재단	종합병원
307	약국/한약방	힐링약국	약국
308	병원	프라임중앙치과	치과의원
309	약국/한약방	장터중탕원	탕제원
310	병원	과천의원	일반병원
311	병원	수원서울외과	내과/외과
312	병원	메디아트의원	기타병원
313	병원	서부산센텀병원	일반병원
314	병원	예지원피부과	피부과
315	유사의료업	근육골격전문센터	척추교정치료
316	병원	도래올부부한의원	한의원
317	병원	연세의원	기타병원
318	병원	우보목동	한의원
319	병원	아름다운선의원	피부과
320	병원	채진호마취통증의학과의원	기타병원
321	약국/한약방	봉계탕제원	탕제원
322	병원	함소아한의원	한의원
323	병원	제일통증의학과의원	기타병원
324	병원	이현수내과의원	내과/외과
325	병원	이영수의원	기타병원
326	약국/한약방	창성탕제원	탕제원
327	병원	우리사랑의원	기타병원
328	약국/한약방	믿음탕제원	탕제원
329	병원	두리하나이비인후과소아청소년과	이비인후과의원
330	병원	드림피부과	피부과
331	약국/한약방	혜림당한약약업사	탕제원
332	병원	태림소아청소년과의원	소아과
333	약국/한약방	낙원약업사	한약방
334	병원	진성재활의학과의원	기타병원
335	병원	조수영소아청소년과의원건강기능식품	기타병원
336	병원	열린	기타병원
337	병원	백초당	한방병원
338	약국/한약방	메디팜	약국
339	약국/한약방	금산인삼탕제원	탕제원
340	병원	옥포한의원웰빙센타	한의원
341	병원	미래피부과의원	피부과
342	유사의료업	침향전문	침구원
343	약국/한약방	문경제탕원	탕제원
344	약국/한약방	약초중탕원	탕제원
345	약국/한약방	엘림당약국	약국
346	병원	자연의원	기타병원
347	약국/한약방	동방약초	한약방
348	병원	닥터오에스의원	기타병원
349	약국/한약방	세종제탕원	탕제원
350	약국/한약방	비슬청록농장	약국
351	병원	철산연세가정의학과	일반병원
352	병원	예사랑의원	기타병원
353	병원	진소아과	소아과
354	병원	홍익병원별관	종합병원
355	병원	이성훈소아과의원	소아과
356	병원	광제한의원	한의원
357	병원	연세봄내과소아청소년과의원	소아과
358	약국/한약방	태화탕제원	탕제원
359	병원	신병원	정형/성형외과
360	유사의료업	원전커머스	유사의료업기타
361	약국/한약방	대영먁국	약국
362	병원	로덴치과	치과의원
363	병원	구병원	종합병원
364	병원	경북대학병원응급센터9층	종합병원
365	약국/한약방	다림골대한제분소탕제원	탕제원
366	병원	제일의원	기타병원
367	병원	성심마취과의원	기타병원
368	병원	현대연합의원	신경외과
369	약국/한약방	동의한약국	한약방
370	약국/한약방	장호약국	약국
371	병원	아침나라한의원	한의원
372	병원	해말은운동치료센타	기타병원
373	의료관련서비스업	봄빛병원산후조리원	산후조리원
374	병원	문스타	정형/성형외과
375	약국/한약방	원약국	약국
376	병원	소래연세의원	내과/외과
377	병원	보람병원	산부인과
378	병원	참사랑의원	일반병원
379	수의업	디아나동물병원	동물병원
380	병원	닥터반마취통증의학과	기타병원
381	병원	자생한방병원	한방병원
382	약국/한약방	서부약국	약국
383	약국/한약방	푸른솔약국	약국
384	유사의료업	체형교정운동센터	척추교정치료
385	약국/한약방	현대약국	약국
386	병원	SNUH	종합병원
387	수의업	보보스동물병원	동물병원
388	병원	민아청소년과	소아과
389	병원	이미지치과	치과의원
390	약국/한약방	약손약국	약국
391	병원	이창훈이비인후과	이비인후과의원
392	병원	AJ성형외과	정형/성형외과
393	병원	도림한의원	한의원
394	의료관련서비스업	사임당	산후조리원
395	병원	힐락의원	내과/외과
396	병원	이엘피부과	피부과
397	병원	지디치과	치과의원
398	약국/한약방	삼정약국	약국
399	병원	우리아동병원	기타병원
400	병원	CCL치과	치과의원
401	약국/한약방	일등메디칼약국	약국
402	의료관련서비스업	궁산후조리원	산후조리원
403	약국/한약방	유진약국	약국
404	병원	튼튼한의원	한의원
405	병원	연세에스병원피부과	피부과
406	약국/한약방	온누리약국	약국
407	병원	티아라	정형/성형외과
408	약국/한약방	순풍온누리약국	약국
409	병원	신동화한의원	한의원
410	수의업	삼성동물병원	동물병원
411	병원	닥터문통증의원	기타병원
412	약국/한약방	열린온누리약국	약국
413	약국/한약방	삼대한약방	한약방
414	병원	상비한의원	한의원
415	약국/한약방	소망약국	약국
416	유사의료업	오아이치과기공소	치과기공소
417	병원	이원연세성형외과	정형/성형외과
418	병원	대자인한의원	한의원
419	병원	신우재활요양병원	노인/치매병원
420	약국/한약방	다온약국	약국
421	병원	연세키즈소아과	소아과
422	병원	송림외과의원내	내과/외과
423	병원	동신대학교목동한방병원	한방병원
424	병원	울진통증의원	기타병원
425	병원	단아한치과	치과의원
426	병원	남강	한의원
427	병원	부산제통마취과의원	기타병원
428	약국/한약방	동의보감제탕원	탕제원
429	약국/한약방	경북탕제원	탕제원
430	약국/한약방	녹십자약국	약국
431	유사의료업	서울언어치료센터	언어치료
432	약국/한약방	동양건재한약방	한약방
433	병원	제일수의원	내과/외과
434	약국/한약방	제일약방	약국
435	유사의료업	동양침술원	침구원
436	약국/한약방	대학약국	약국
437	병원	마야응급상담센타	일반병원
438	병원	성모플러스내과	내과/외과
439	병원	임춘근산부인과여성클리닉	산부인과
440	병원	마산종합치과상사	치과의원
441	병원	박태홍만성피로의원	내과/외과
442	수의업	문경가축병원	동물병원
443	약국/한약방	선우약국	약국
444	병원	원광대학교대전치과병원	치과병원
445	약국/한약방	시영약국	약국
446	병원	맑은얼굴천진한의원	한의원
447	약국/한약방	영해약국	약국
448	약국/한약방	대신농약	약국
449	병원	삼성내과	내과/외과
450	병원	옥천성모병원매점	종합병원
451	병원	서경원소아과의원	소아과
452	병원	김수균모발외과	내과/외과
453	병원	청송노인종합센터	노인/치매병원
454	수의업	옥동정철종합동물병원	동물병원
455	병원	청산한의원	한의원
456	병원	노만희정신건강의학과	기타병원
457	약국/한약방	윤항기한약방	한약방
458	병원	최정신건강의학과	기타병원
459	병원	안산시치과협회	치과의원
460	수의업	롯데동물병원	동물병원
461	병원	김호준성형외과	정형/성형외과
462	병원	티아라성형외과	정형/성형외과
463	약국/한약방	순창약국	약국
464	병원	덕담천지인한의원	한의원
465	병원	메디아이산부인과	산부인과
466	병원	MD치과목동	치과의원
467	수의업	케이나인종합동물병원	동물병원
468	병원	필치과	치과의원
469	수의업	연합가축병원	동물병원
470	유사의료업	응급환자이송단상계지점	응급구조대
471	병원	노홍기냇과위원	내과/외과
472	병원	차이비인후과	이비인후과의원
473	약국/한약방	삼성약국	약국
474	약국/한약방	후포소망약국	약국
475	약국/한약방	동아제탕원	탕제원
476	병원	유경피부과의원	피부과
477	병원	이승부치과의원	치과병원
478	약국/한약방	제일한약재탕원	탕제원
479	병원	강동고려외과의원	내과/외과
480	병원	송성용성형외과	정형/성형외과
481	병원	안호준피부비뇨기과	기타병원
482	유사의료업	한국아동발달연구소	언어치료
483	병원	고려치과의원	치과병원
484	약국/한약방	녹십자약국	약국
485	병원	아주치과재료상사	치과의원
486	병원	다인소아청소년과의원	소아과
487	병원	연세주니어치과	치과의원
488	약국/한약방	동오약국	약국
489	병원	경북도립김천노인전문요양병원	노인/치매병원
490	약국/한약방	윤약국	약국
491	병원	녹십자한의원	한의원
492	병원	중앙가정의학과의원	기타병원
493	병원	한음한방신경정신과한의원	기타병원
494	의료관련서비스업	삼칠일산모도우미	산후조리원
495	병원	임창빈소아과의원	소아과
496	병원	가톨릭피부비뇨기과	비뇨기과
497	병원	김재욱내과	내과/외과
498	약국/한약방	청십자약국	약국
499	유사의료업	생활건강연합회	유사의료업기타
500	유사의료업	척추교정	척추교정치료
501	병원	VIP성형외과	정형/성형외과
502	병원	아이맘	소아과
503	약국/한약방	나은약국	약국
504	병원	유디치과	치과의원
505	약국/한약방	상경약국	약국
506	병원	굿모닝이비인후과	이비인후과의원
507	병원	덕윤중국한의원	한의원
508	병원	동서한의원	한의원
509	약국/한약방	스마일약국	약국
510	수의업	최상범동물병원	동물병원
511	병원	가나안노인전문요양병원	노인/치매병원
512	약국/한약방	옥동약국	약국
513	병원	함춘여성클리닉	산부인과
514	약국/한약방	영주한약탕제원	탕제원
515	약국/한약방	보람약국	약국
516	수의업	함창가축병원	동물병원
517	병원	잠원동열린성모이비인후과의원	이비인후과의원
518	유사의료업	미아헌혈의집	혈액원
519	병원	조건제치과의원	치과의원
520	병원	미소나래치과	치과의원
521	병원	더스타일	정형/성형외과
522	유사의료업	정우기공소	치과기공소
523	병원	연세플러스안과의원	안과의원
524	약국/한약방	명진당약국	약국
525	병원	뷰인클리닉	피부과
526	병원	빈센트성형외과	정형/성형외과
527	약국/한약방	성창약국	약국
528	약국/한약방	국보당건재약국	약국
529	병원	구미신경외과정형외과	신경외과
530	병원	인텔리치과	치과의원
531	수의업	성동동물병원	동물병원
532	병원	소담한의원	한의원
533	병원	현대치과의원	치과의원
534	약국/한약방	굿모닝약국	약국
535	병원	민성형외과피부과	피부과
536	약국/한약방	대영당약국	약국
537	병원	황치과	치과의원
538	병원	치유나무	기타병원
539	수의업	풍지동물병원	동물병원
540	병원	프라임안과의원	안과의원
541	약국/한약방	온누리건강나라	약국
542	병원	르네상스피부과	피부과
543	병원	서울수마음클리닉	피부과
544	병원	고른이치과	치과의원
545	약국/한약방	센타약국	약국
546	약국/한약방	용문약국	약국
547	약국/한약방	슈가링스	약국
548	유사의료업	고려수지침	침구원
549	병원	박규욱피부비뇨기과	비뇨기과
550	유사의료업	거창인명구조대	응급구조대
551	병원	송기창의원	기타병원
552	병원	정웅기의원	내과/외과
553	약국/한약방	정성약국	약국
554	약국/한약방	메디팜약국	약국
555	약국/한약방	편한약국	한약방
556	수의업	울산축협	동물병원
557	약국/한약방	태양약국	약국
558	병원	현대소아청소년의원	소아과
559	약국/한약방	명당약국	약국
560	병원	신세계신경정신과의원	기타병원
561	약국/한약방	연세약국	약국
562	유사의료업	고려수지침요법학회영도지회	침구원
563	병원	다인치과의원	치과의원
564	수의업	남지가축병원	동물병원
565	병원	경기마취과의원	기타병원
566	병원	홍치과의원	치과의원
567	병원	광민치과의원	치과의원
568	약국/한약방	온누리신세계약국	약국
569	병원	김진수치과의원	치과의원
570	약국/한약방	동산약국	약국
571	병원	최선배치과의원	치과의원
572	병원	한국의학연구소부속수원기독의원	기타병원
573	병원	송계승산부인과	산부인과
574	병원	웰치과의원	치과의원
575	약국/한약방	새성남약국	약국
576	약국/한약방	대동한약방	한약방
577	병원	호산나치과	치과의원
578	병원	삼세한방병원	한방병원
579	병원	강지윤신경정신과	기타병원
580	병원	함양정안과의원	안과의원
581	병원	차인박피부과	피부과
582	수의업	롯데동물병원	동물병원
583	병원	서창치과의원	치과의원
584	병원	닥터J피부비뇨기과	비뇨기과
585	병원	동민치과의원	치과의원
586	병원	서연호치과의원	치과의원
587	수의업	모서동물병원	동물병원
588	병원	J.D치과재료상사	치과의원
589	병원	연세치과	치과의원
590	수의업	경산동물병원	동물병원
591	병원	푸른마을의원	일반병원
592	약국/한약방	부석약국	약국
593	약국/한약방	동의당건재한약방	한약방
594	약국/한약방	은행약국	약국
595	병원	강남비뇨기과.피부과서면점	비뇨기과
596	약국/한약방	청린건재한약방	한약방
597	병원	새롬성형외과	정형/성형외과
598	병원	트루맨성형외과	정형/성형외과
599	병원	문영환치과의원	치과의원
600	병원	마디의원	기타병원
601	약국/한약방	진약국	약국
602	병원	신반치과의원	치과의원
603	병원	남부성심의원	기타병원
604	병원	김광우소아과	소아과
605	약국/한약방	일동약국	약국
606	병원	세련신경외과의원	신경외과
607	병원	진영외과의원	내과/외과
608	수의업	베스트종합동물병원	동물병원
609	약국/한약방	녹원박인약국	약국
610	약국/한약방	논리약방	약국
611	병원	종명한의원	한의원
612	유사의료업	장침술원	침구원
613	약국/한약방	오륜약국	약국
614	약국/한약방	수정약국	약국
615	병원	미래메디컬의원	소아과
616	약국/한약방	근화당약국	약국
617	병원	김연종내과	내과/외과
618	약국/한약방	백세당	한약방
619	병원	일독한의원	한의원
620	병원	늘시원의원	기타병원
621	약국/한약방	드림약국	약국
622	유사의료업	대한척추교정원	척추교정치료
623	병원	제창당한의원	한의원
624	약국/한약방	부부약국	약국
625	약국/한약방	중앙약국	약국
626	약국/한약방	다솜약국	약국
627	유사의료업	활기도척추교정	척추교정치료
628	유사의료업	청솔치과기공소	치과기공소
629	약국/한약방	대광당건재한약방	한약방
630	약국/한약방	백제약국	약국
631	병원	지각운동학습쎈타	내과/외과
632	병원	박병원	기타병원
633	약국/한약방	덕인당한약방	한약방
634	병원	김정경치과	치과의원
635	병원	김광호의원	기타병원
636	약국/한약방	화생당건재약방	한약방
637	병원	해맑은치과	치과의원
638	병원	구인당한의원	한의원
639	유사의료업	연세말언어인지연구센타	언어치료
640	약국/한약방	대한제탕원	탕제원
641	유사의료업	아주대헌혈의집	혈액원
642	약국/한약방	수원터미널약국	약국
643	약국/한약방	메디팜마산약국	약국
644	병원	연세미플러스치과	치과의원
645	병원	바른해치과	치과의원
646	병원	덴토피아치과	치과의원
647	병원	홍도권의원	기타병원
648	병원	청담유성형외과	정형/성형외과
649	병원	용한이비인후과	이비인후과의원
650	약국/한약방	서울대공원약국	약국
651	약국/한약방	춘산한약방	한약방
652	유사의료업	신체교정원	척추교정치료
653	약국/한약방	행산당한약방	한약방
654	병원	금오재단	기타병원
655	병원	드림장치과의원	치과의원
656	약국/한약방	명의당한약방	한약방
657	병원	아주탑치과병원	치과병원
658	병원	우리이비인후과의원	이비인후과의원
659	병원	이근호치과	치과의원
660	병원	박연호피부과	피부과
661	병원	홍치과	치과의원
662	수의업	종합동물병원	동물병원
663	약국/한약방	남성당한약방	한약방
664	병원	이현피부비뇨기과	비뇨기과
665	약국/한약방	금산당한약방	한약방
666	약국/한약방	대림당한약방	한약방
667	수의업	민가축병원	동물병원
668	병원	피브로한의원	한의원
669	유사의료업	명성교정원	척추교정치료
670	병원	정신의료	기타병원
671	병원	진해피부비뇨기과	비뇨기과
672	약국/한약방	신촌약국	약국
673	수의업	대구24시야간응급동물병원	동물병원
674	약국/한약방	신광약국	약국
675	약국/한약방	호산나약국	약국
676	병원	송광수의원	기타병원
677	병원	한일치과	치과의원
678	병원	고령효사랑요양병원효사랑복지센터	노인/치매병원
679	병원	노인전문간호센타	노인/치매병원
680	약국/한약방	건재당한약방	한약방
681	약국/한약방	구세약방	약국
682	병원	류내과의원	내과/외과
683	병원	동국대학교경주병원장례식장	종합병원
684	병원	김영구치과의원	치과의원
685	병원	윤소아과의원	소아과
686	유사의료업	경우특수공구	치과기공소
687	수의업	진접동물병원	동물병원
688	약국/한약방	구원한약방	한약방
689	병원	김피부비뇨기과의원	비뇨기과
690	병원	드림아이병원	기타병원
691	약국/한약방	동창종로약국	약국
692	병원	365열린의원	일반병원
693	약국/한약방	화순종로약국	약국
694	유사의료업	응급환자이송단	응급구조대
695	병원	CHA메디칼센타	산부인과
696	병원	이재철피부비뇨기과	비뇨기과
697	약국/한약방	시내약국	약국
698	병원	정내과의원	내과/외과
699	병원	서울연합의원	소아과
700	병원	산본어린이치과	치과병원
701	약국/한약방	동아약국	약국
702	유사의료업	대한응급환자이송단	응급구조대
703	약국/한약방	영광한약방	한약방
704	병원	원광한의원	한의원
705	병원	김원택치과의원	치과의원
706	약국/한약방	현덕약방	약국
707	유사의료업	구례치과기공소	치과기공소
708	약국/한약방	새대구약국	약국
709	약국/한약방	칠성한약방	한약방
710	약국/한약방	휘명약국	약국
711	병원	노블하임	노인/치매병원
712	병원	양평본한의원	한의원
713	병원	송이비인후과의원	이비인후과의원
714	병원	이창우외과	내과/외과
715	병원	의왕서울정형외과	정형/성형외과
716	병원	예일치과	치과의원
717	병원	엑셀란트치과	치과의원
718	유사의료업	경기구급센터	응급구조대
719	약국/한약방	웰빙한약국	한약방
720	병원	열경한방병원	한방병원
721	유사의료업	경기구급센터	응급구조대
722	병원	대아의료재단	종합병원
723	병원	풍림의원	기타병원
724	병원	사라복지재단	노인/치매병원
725	병원	이동훈치과의원	치과의원
726	병원	김강한의원	한의원
727	약국/한약방	메디팜프라자약국	약국
728	병원	정한의원	한의원
729	병원	연세소아과의원	소아과
730	수의업	단계가축병원	동물병원
731	병원	서울이플란트치과의원	치과의원
732	병원	온누리내과의원	내과/외과
733	약국/한약방	하나로약국	약국
734	약국/한약방	제일건재한약방	한약방
735	병원	윤치과	치과의원
736	약국/한약방	세종당한약방	한약방
737	수의업	신령가축병원	동물병원
738	병원	시화센트럴병원치과	치과의원
739	병원	김승현이비인후과의원	이비인후과의원
